node,rttMean,rttStd,geo,rttMin,rttMax,bandwidth,noCrashes,rtt,timestamp
71,6067.0,276.0,47.0,5791.0,6343.0,1.0,0,5791.0,1504871405466
82,6017.0,176.0,56.0,5841.0,6193.0,90.0,0,5841.0,1504871405516
50,1983.5,248.93221969042094,17.0,1821.0,2414.0,33.0,0,1839.0,1504871405555
6,6212.0,271.0,58.0,5941.0,6483.0,65.0,0,5941.0,1504871405616
37,6162.5,191.5,57.0,5971.0,6354.0,30.0,0,5971.0,1504871405646
70,6322.5,241.5,60.0,6081.0,6564.0,94.0,0,6081.0,1504871405756
13,2168.25,234.24279604717836,18.0,1949.0,2563.0,13.0,0,2090.0,1504871405806
30,6382.0,221.0,59.0,6161.0,6603.0,49.0,0,6161.0,1504871405836
100,2170.5,195.8934659451407,19.0,2010.0,2494.0,25.0,0,2159.0,1504871405875
59,2370.75,256.7950301310366,21.0,2190.0,2814.0,54.0,0,2190.0,1504871405906
87,2326.25,162.21956571264764,20.0,2201.0,2604.0,26.0,0,2230.0,1504871405946
88,6551.5,241.5,62.0,6310.0,6793.0,44.0,0,6310.0,1504871405985
75,6542.0,222.0,61.0,6320.0,6764.0,43.0,0,6320.0,1504871405995
85,2496.25,214.74447024312408,22.0,2310.0,2854.0,36.0,0,2310.0,1504871406026
32,2550.5,222.31565396975535,23.0,2390.0,2934.0,41.0,0,2439.0,1504871406155
48,6752.0,212.0,63.0,6540.0,6964.0,80.0,0,6540.0,1504871406215
56,6802.0,212.0,64.0,6590.0,7014.0,84.0,0,6590.0,1504871406265
2,6897.5,286.5,65.0,6611.0,7184.0,83.0,0,6611.0,1504871406286
39,2645.5,170.12421932223523,24.0,2490.0,2933.0,47.0,0,2590.0,1504871406306
25,6962.0,191.0,66.0,6771.0,7153.0,58.0,0,6771.0,1504871406445
22,2826.0,187.2378166931029,25.0,2660.0,3144.0,53.0,0,2750.0,1504871406466
65,7147.0,226.0,67.0,6921.0,7373.0,92.0,0,6921.0,1504871406596
98,7202.0,262.0,68.0,6940.0,7464.0,93.0,0,6940.0,1504871406615
7,2991.25,170.34578803128653,27.0,2861.0,3284.0,46.0,0,2900.0,1504871406616
97,3128.5,174.39108348766,28.0,2941.0,3414.0,20.0,0,3070.0,1504871406786
41,7377.5,256.5,70.0,7121.0,7634.0,67.0,0,7121.0,1504871406796
61,7342.5,211.5,69.0,7131.0,7554.0,42.0,0,7131.0,1504871406806
24,3248.25,204.91385385083166,29.0,3121.0,3603.0,52.0,0,3130.0,1504871406846
38,3283.5,197.48987315809384,30.0,3149.0,3624.0,38.0,0,3149.0,1504871406865
94,3316.75,180.1976345571717,26.0,3171.0,3625.0,2.0,0,3250.0,1504871406966
33,7567.0,266.0,72.0,7301.0,7833.0,64.0,0,7301.0,1504871406976
92,3423.5,185.19516732355626,32.0,3310.0,3744.0,48.0,0,3329.0,1504871407045
51,7661.5,281.5,71.0,7380.0,7943.0,6.0,0,7380.0,1504871407055
35,3531.25,278.8058240066014,33.0,3360.0,4014.0,56.0,0,3360.0,1504871407076
79,3456.0,178.99161991557034,31.0,3320.0,3764.0,14.0,0,3370.0,1504871407086
28,7642.0,231.0,73.0,7411.0,7873.0,34.0,0,7411.0,1504871407086
5,3643.25,213.8274713407985,34.0,3500.0,4013.0,37.0,0,3529.0,1504871407245
66,7856.5,246.5,74.0,7610.0,8103.0,17.0,0,7610.0,1504871407285
46,3888.0,179.20239953750618,36.0,3730.0,4183.0,28.0,0,3730.0,1504871407446
78,3780.75,198.10776738936815,35.0,3600.0,4113.0,68.0,0,3740.0,1504871407456
58,7987.0,187.0,75.0,7800.0,8174.0,8.0,0,7800.0,1504871407475
95,8037.0,236.0,76.0,7801.0,8273.0,59.0,0,7801.0,1504871407476
34,4016.0,191.39357355982463,38.0,3850.0,4333.0,98.0,0,3850.0,1504871407566
43,8097.5,176.5,77.0,7921.0,8274.0,40.0,0,7921.0,1504871407596
89,3978.75,176.27446638693874,37.0,3871.0,4284.0,50.0,0,3880.0,1504871407596
52,8192.0,212.0,78.0,7980.0,8404.0,91.0,0,7980.0,1504871407655
26,4135.75,169.43047984350395,39.0,4001.0,4424.0,77.0,0,4089.0,1504871407805
31,340.6,251.23502940473884,1.0,180.0,834.0,32.0,0,180.0,1504871407925
67,201.2,175.30818577579313,0.0,49.0,527.0,88.0,0,230.0,1504871407975
45,445.0,206.65526850288623,2.0,320.0,854.0,31.0,0,330.0,1504871408075
96,551.0,194.192687812904,3.0,391.0,924.0,62.0,0,541.0,1504871408286
55,693.0,164.88298881327935,4.0,540.0,1014.0,12.0,0,641.0,1504871408386
86,994.8,193.45428400529153,8.0,861.0,1374.0,89.0,0,900.0,1504871408645
77,922.6,205.41918118812566,5.0,769.0,1324.0,5.0,0,901.0,1504871408646
62,953.0,151.0112578584789,7.0,819.0,1245.0,72.0,0,941.0,1504871408686
93,1240.6,208.93788550667398,9.0,1080.0,1654.0,21.0,0,1080.0,1504871408825
4,1280.8,153.05737486315385,10.0,1130.0,1574.0,27.0,0,1250.0,1504871408995
47,1415.0,189.53311056382736,11.0,1261.0,1784.0,19.0,0,1261.0,1504871409005
17,1442.8,212.2794384767399,12.0,1269.0,1853.0,82.0,0,1411.0,1504871409156
99,1535.2,169.62476234323807,13.0,1381.0,1864.0,87.0,0,1451.0,1504871409196
10,1593.0,190.12942959994382,14.0,1450.0,1953.0,60.0,0,1461.0,1504871409206
11,1844.8,220.87770371859628,16.0,1670.0,2273.0,79.0,0,1670.0,1504871409415
83,1733.0,188.2615202318307,15.0,1570.0,2094.0,63.0,0,1730.0,1504871409475
90,1825.0,163.7998778998324,6.0,1680.0,2144.0,0.0,0,1771.0,1504871409516
50,1953.0,230.8566654874838,17.0,1821.0,2414.0,33.0,0,1831.0,1504871409576
100,2136.6,187.87293578373658,19.0,2001.0,2494.0,25.0,0,2001.0,1504871409746
87,2279.2,172.93628884649976,20.0,2091.0,2604.0,26.0,0,2091.0,1504871409836
13,2154.6,211.28426349352193,18.0,1949.0,2563.0,13.0,0,2100.0,1504871409845
59,2348.8,233.84216899438817,21.0,2190.0,2814.0,54.0,0,2261.0,1504871410006
85,2489.2,192.59013474215132,22.0,2310.0,2854.0,36.0,0,2461.0,1504871410206
32,2538.4,200.31235608419166,23.0,2390.0,2934.0,41.0,0,2490.0,1504871410235
39,2616.6,162.77174201930754,24.0,2490.0,2933.0,47.0,0,2501.0,1504871410246
22,2790.8,181.66606727729865,25.0,2650.0,3144.0,53.0,0,2650.0,1504871410395
7,2949.0,174.22514169889487,27.0,2780.0,3284.0,46.0,0,2780.0,1504871410525
97,3105.0,162.9073356236606,28.0,2941.0,3414.0,20.0,0,3011.0,1504871410756
24,3204.8,202.83826069063005,29.0,3031.0,3603.0,52.0,0,3031.0,1504871410776
38,3255.0,185.60926701002836,30.0,3141.0,3624.0,38.0,0,3141.0,1504871410886
94,3293.6,167.6920988001522,26.0,3171.0,3625.0,2.0,0,3201.0,1504871410946
92,3407.0,168.8987862597005,32.0,3310.0,3744.0,48.0,0,3341.0,1504871411085
79,3440.8,162.95569950142894,31.0,3320.0,3764.0,14.0,0,3380.0,1504871411125
35,3503.0,255.69200222142265,33.0,3360.0,4014.0,56.0,0,3390.0,1504871411135
5,3618.6,197.50503791042902,34.0,3500.0,4013.0,37.0,0,3520.0,1504871411265
78,3766.6,179.43868033397928,35.0,3600.0,4113.0,68.0,0,3710.0,1504871411455
46,3860.6,169.39256182016965,36.0,3730.0,4183.0,28.0,0,3751.0,1504871411496
89,3935.0,180.31749776436007,37.0,3760.0,4284.0,50.0,0,3760.0,1504871411505
34,3983.0,183.46988853760172,38.0,3850.0,4333.0,98.0,0,3851.0,1504871411596
64,8307.5,287.5,79.0,8020.0,8595.0,57.0,0,8020.0,1504871411736
67,184.16666666666666,164.5037149192146,0.0,49.0,527.0,88.0,0,99.0,1504871411875
60,8412.0,202.0,80.0,8210.0,8614.0,18.0,0,8210.0,1504871411926
9,4365.0,190.3698155345712,40.0,4221.0,4634.0,95.0,0,4221.0,1504871411966
18,4368.333333333333,188.22740383789912,41.0,4221.0,4634.0,99.0,0,4250.0,1504871411995
44,8577.0,247.0,82.0,8330.0,8824.0,51.0,0,8330.0,1504871412046
76,8556.5,187.5,81.0,8369.0,8744.0,15.0,0,8369.0,1504871412085
45,425.6666666666667,193.5395451982761,2.0,320.0,854.0,31.0,0,329.0,1504871412105
31,340.5,229.34526374006506,1.0,180.0,834.0,32.0,0,340.0,1504871412116
3,4661.666666666667,250.72472731840568,44.0,4451.0,5014.0,97.0,0,4451.0,1504871412196
69,8757.0,267.0,84.0,8490.0,9024.0,22.0,0,8490.0,1504871412206
63,8707.0,207.0,83.0,8500.0,8914.0,24.0,0,8500.0,1504871412216
80,4611.333333333333,205.79169619355932,43.0,4410.0,4894.0,74.0,0,4530.0,1504871412275
20,4755.0,233.2395049443097,45.0,4570.0,5084.0,81.0,0,4570.0,1504871412315
72,8836.5,237.5,85.0,8599.0,9074.0,70.0,0,8599.0,1504871412315
